@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
794, 0.0013698630136986301, 1.876923076923077, 0.035284139100933, 6.975409836065574, 32, 1, drama
1243, 0.0035211267605633804, 0.42592592592592593, 0.021656354117087103, 25.67391304347826, 62, 7, epic
266, 0.0, 1.0465116279069768, 0.03176861071597914, 6.444444444444445, 32, 1, drama
117, 0.0, 1.1818181818181819, 0.02288329519450801, 9.153846153846153, 19, 2, poetry
3276, 0.05140507196710076, 0.6987704918032787, 0.016113376043486703, 9.55425219941349, 37, 1, report
88, 0.0, 1.1428571428571428, 0.035211267605633804, 11.125, 27, 1, poetry
277, 0.0, 1.0810810810810811, 0.026415094339622643, 7.3, 42, 1, drama
1196, 0.01014760147601476, 0.6818181818181818, 0.01905674438411583, 13.033333333333333, 39, 1, report
1477, 0.0, 1.7185185185185186, 0.035221238938053095, 6.7844827586206895, 68, 1, drama
234, 0.0, 0.1590909090909091, 0.016318537859007835, 33.57142857142857, 56, 3, poetry
671, 0.0, 0.6140350877192983, 0.033183856502242155, 18.542857142857144, 52, 1, poetry
2689, 0.017227235438884332, 0.6029411764705882, 0.01597569342350289, 15.859756097560975, 49, 1, report
1406, 0.03894080996884735, 0.6408450704225352, 0.020127015144113337, 15.098901098901099, 44, 1, report
46, 0.023809523809523808, 0.75, 0.0182370820668693, 7.833333333333333, 13, 2, poetry
3969, 0.0, 0.5899053627760252, 0.021902131018153116, 20.529411764705884, 80, 1, epic
1256, 0.0, 1.408839779005525, 0.028989929813854134, 5.231372549019608, 10, 1, drama
180, 0.0, 0.21428571428571427, 0.030782761653474055, 56.333333333333336, 112, 22, poetry
87, 0.0, 2.411764705882353, 0.04104104104104104, 2.707317073170732, 8, 1, drama
6875, 0.0, 0.6978798586572438, 0.023701519618961216, 16.98481012658228, 94, 1, epic
658, 0.04013377926421405, 0.6625, 0.020424671385237615, 12.264150943396226, 42, 1, report
66, 0.0, 0.5, 0.02132701421800948, 21.0, 25, 18, poetry
195, 0.0, 1.0, 0.027777777777777776, 12.1875, 23, 1, poetry
1726, 0.04350607805502239, 0.7783783783783784, 0.018615646007239417, 11.847222222222221, 71, 1, report
69, 0.0, 1.0, 0.02575107296137339, 11.833333333333334, 22, 2, poetry
154, 0.0, 1.4166666666666667, 0.03394495412844037, 9.352941176470589, 19, 3, poetry
753, 0.0, 0.4507042253521127, 0.03596423017107309, 11.96875, 60, 1, drama
114, 0.0, 0.7777777777777778, 0.034334763948497854, 16.0, 26, 9, poetry
157, 0.0, 0.35714285714285715, 0.02626641651031895, 29.6, 46, 21, poetry
296, 0.08208955223880597, 0.9285714285714286, 0.01957713390759593, 7.846153846153846, 36, 1, report
1282, 0.01386481802426343, 0.5961538461538461, 0.014748409485251591, 13.397849462365592, 45, 1, report
754, 0.011661807580174927, 0.8539325842696629, 0.01761189206656972, 10.013157894736842, 26, 1, report
1837, 0.0, 1.286764705882353, 0.025082236842105265, 5.474285714285714, 10, 1, drama
1170, 0.041353383458646614, 0.6587301587301587, 0.01519489099317331, 13.80722891566265, 30, 1, report
284, 0.007633587786259542, 0.9565217391304348, 0.032119914346895075, 12.863636363636363, 54, 2, epic
484, 0.0, 0.4430379746835443, 0.02453416149068323, 14.057142857142857, 43, 1, poetry
447, 0.0072992700729927005, 0.717948717948718, 0.02947920078611202, 15.642857142857142, 64, 1, poetry
705, 0.0, 0.37593984962406013, 0.02918781725888325, 14.18, 44, 3, drama
4999, 0.0, 0.7577197149643705, 0.024963964792835896, 15.35423197492163, 78, 1, epic
1417, 0.03472770323599053, 0.6823529411764706, 0.01833580721208417, 11.913793103448276, 46, 1, report
682, 0.0, 1.08, 0.03421760861207228, 6.851851851851852, 52, 1, drama
